ID,Module,Feature,Detail,Notes
F-01-01,Authentication,Login form,Username and Password and Login button,
F-01-02,Authentication,Test users,standard_user | locked_out_user | problem_user | performance_glitch_user | error_user | visual_user,All share password: secret_sauce
F-01-03,Authentication,Credentials hint,Shown on login page without logging in,
F-01-04,Authentication,Error - locked user,Sorry this user has been locked out,
F-01-05,Authentication,Error - invalid credentials,Username and password do not match any user in this service,
F-01-06,Authentication,Error - empty username,Username is required,
F-01-07,Authentication,Error - empty password,Password is required,
F-01-08,Authentication,Logout,Hamburger menu then Logout,
F-01-09,Authentication,Session protection,Direct URL to /inventory.html without login redirects to login page,Security requirement
F-02-01,Product Catalog,Total products,6 products on inventory page,
F-02-02,Product Catalog,Sauce Labs Backpack,29.99 USD,
F-02-03,Product Catalog,Sauce Labs Bike Light,9.99 USD,
F-02-04,Product Catalog,Sauce Labs Bolt T-Shirt,15.99 USD,
F-02-05,Product Catalog,Sauce Labs Fleece Jacket,49.99 USD,
F-02-06,Product Catalog,Sauce Labs Onesie,7.99 USD,
F-02-07,Product Catalog,Test.allTheThings T-Shirt Red,15.99 USD,
F-02-08,Product Catalog,Each product shows,Image and Name and Description and Price and Add to cart button,
F-02-09,Product Catalog,Sort options,Name A-Z (default) | Name Z-A | Price low to high | Price high to low,
F-02-10,Product Catalog,Product detail page,Large image and full name and description and price and Add to cart and Back to products,
F-03-01,Shopping Cart,Add to cart,From inventory page and from product detail page,
F-03-02,Shopping Cart,Cart badge,Counter on cart icon updates on add and remove,
F-03-03,Shopping Cart,Button toggle,Add to cart changes to Remove after adding,
F-03-04,Shopping Cart,Cart page columns,QTY (fixed at 1) and Description and Price and Remove button,
F-03-05,Shopping Cart,QTY field,Displayed as 1 and not editable,Known limitation
F-03-06,Shopping Cart,Cart actions,Continue Shopping and Checkout,
F-03-07,Shopping Cart,Cart persistence,Items persist when navigating between pages within session,
F-04-01,Checkout,Step 1 - Customer Info,First Name and Last Name and Zip Code and Continue and Cancel,
F-04-02,Checkout,Validation - empty first name,Error: First Name is required,
F-04-03,Checkout,Validation - empty last name,Error: Last Name is required,
F-04-04,Checkout,Validation - empty zip,Error: Postal Code is required,
F-04-05,Checkout,Step 2 - Overview,Items and Payment and Shipping and Subtotal and Tax and Total and Finish and Cancel,
F-04-06,Checkout,Payment info,SauceCard 31337,
F-04-07,Checkout,Shipping info,Free Pony Express Delivery,
F-04-08,Checkout,Tax rate,approx. 8% of subtotal,
F-04-09,Checkout,Price example,Backpack 29.99 + Bike Light 9.99 = 39.98 subtotal + 3.20 tax = 43.18 total,
F-04-10,Checkout,Step 3 - Confirmation,Thank you for your order and Back Home button,
F-04-11,Checkout,Cancel Step 1,Returns to cart - items preserved,
F-04-12,Checkout,Cancel Step 2,Returns to inventory (not cart),UX observation - OBS-001
F-04-13,Checkout,Post-order cart,Cart is empty after order completion,
F-05-01,Navigation,Header,Swag Labs title and Hamburger menu and Cart icon,
F-05-02,Navigation,Menu items,All Items and About and Logout and Reset App State,
F-05-03,Navigation,Reset App State,Clears cart and resets all Add to cart buttons,
F-05-04,Navigation,Close menu,ESC key or X button,
F-06-01,Footer,Social links,Twitter and Facebook and LinkedIn,
F-06-02,Footer,Legal links,Terms of Service and Privacy Policy,
F-06-03,Footer,Copyright,2026 Sauce Labs. All Rights Reserved,
F-07-01,Special Users,locked_out_user,Blocked at login - cannot access the app,
F-07-02,Special Users,problem_user,All 6 product images broken (same 404 placeholder) - sort also broken,BUG-001
F-07-03,Special Users,performance_glitch_user,approx. 5-7s artificial delay on login and page loads,BUG-002
F-07-04,Special Users,error_user,Errors triggered on specific interactions,
F-07-05,Special Users,visual_user,Visual and UI bugs on certain elements,
